rank,distance,queryIdx,trainIdx
1,54.35991287231445,1508,698
2,67.93379211425781,1532,673
3,75.67694854736328,1687,844
4,76.83098602294922,1463,668
5,77.1427230834961,1565,760
6,80.0624771118164,1301,317
7,82.27393341064453,1373,575
8,83.54041290283203,1423,566
9,84.10112762451172,1246,433
10,86.48120880126953,1217,318
11,86.92525482177734,1259,456
12,86.98275756835938,1628,780
13,88.61715698242188,1078,248
14,88.98876190185547,1111,135
15,89.05615997314453,1300,316
16,89.342041015625,1368,419
17,91.47677612304688,1247,434
18,91.75511169433594,1471,581
19,91.76055908203125,1497,642
20,92.07605743408203,1609,672
21,92.18460083007812,1164,303
22,93.13967895507812,1462,667
23,93.88822937011719,1460,503
24,95.40440368652344,1258,455
25,96.21849822998047,1684,833
26,96.60227966308594,1477,681
27,96.8245849609375,1399,517
28,97.17510223388672,1504,578
29,97.53973388671875,1739,852
30,98.37174224853516,1079,249
31,98.4276351928711,1853,934
32,99.08582305908203,1237,252
33,99.77975463867188,1255,464
34,99.94998931884766,1837,954
35,102.7375259399414,1625,755
36,102.90772247314453,1745,921
37,103.36343383789062,1495,640
38,104.3455810546875,1546,710
39,104.91901397705078,1120,140
40,105.0951919555664,1725,888
41,106.0,1540,680
42,106.4565658569336,998,148
43,106.61144256591797,1190,420
44,107.35920715332031,1612,722
45,107.5685806274414,1012,171
46,108.88985443115234,1160,394
47,108.89444732666016,1218,225
48,109.13752746582031,1550,744
49,110.14081573486328,1494,639
50,110.60289001464844,1660,803
51,110.9909896850586,1671,824
52,111.21600341796875,1503,577
53,111.51681518554688,1793,891
54,112.02677917480469,1275,358
55,112.44109344482422,1231,263
56,112.48110961914062,1054,216
57,112.67652893066406,1059,156
58,113.82003021240234,1855,997
59,115.09127044677734,1129,218
60,115.65898132324219,1154,159
61,115.77564239501953,1281,439
62,116.32283020019531,1880,972
63,116.36579895019531,1419,590
64,117.35416412353516,1611,723
65,117.5372314453125,1451,515
66,118.72236633300781,1426,465
67,118.9705810546875,1288,307
68,119.54078674316406,1196,361
69,120.28715515136719,1179,414
70,121.42487335205078,1243,374
71,121.90980529785156,1178,286
72,122.62136840820312,1174,305
73,122.81694030761719,1519,699
74,122.84136199951172,1525,695
75,123.80226135253906,1639,775
76,124.24169921875,978,131
77,125.42328643798828,1599,756
78,126.8384780883789,1395,589
79,127.34991455078125,1032,40
80,127.71060943603516,1675,838
81,127.72627258300781,1349,432
82,127.96483612060547,1731,903
83,128.5690460205078,1034,223
84,129.1317138671875,1824,831
85,129.60324096679688,1062,196
86,130.63690185546875,1712,783
87,130.7707977294922,1369,488
88,130.828125,1515,573
89,130.9809112548828,990,124
90,131.33544921875,1158,340
91,131.51806640625,1200,363
92,131.61306762695312,1412,553
93,132.351806640625,1754,809
94,132.9360809326172,1166,362
95,134.23114013671875,1544,602
96,134.23858642578125,1638,773
97,134.34657287597656,1800,962
98,134.60311889648438,1284,322
99,134.64398193359375,1472,662
100,134.72564697265625,1241,338
101,134.81838989257812,1172,144
102,134.914794921875,1483,661
103,135.53965759277344,1799,961
104,135.58761596679688,1404,513
105,136.93063354492188,1338,368
106,137.98550415039062,1839,927
107,138.1557159423828,1422,565
108,138.17379760742188,1514,559
109,139.25157165527344,1223,400
110,139.34848022460938,1654,794
111,139.4345703125,1358,558
112,139.52061462402344,1864,872
113,140.5809326171875,1416,622
114,140.6236114501953,969,99
115,140.80128479003906,1198,231
116,140.82614135742188,1215,345
117,141.53445434570312,1818,960
118,141.71096801757812,1242,339
119,141.98944091796875,1353,546
120,142.08799743652344,1197,230
121,142.64991760253906,1521,682
122,142.70248413085938,1758,861
123,143.37364196777344,1240,256
124,143.4015350341797,1001,149
125,143.52700805664062,1655,706
126,143.73587036132812,1039,47
127,145.07240295410156,1619,700
128,146.7821502685547,1070,247
129,146.89791870117188,1254,404
130,146.9013214111328,1238,276
131,147.06460571289062,1329,466
132,147.39064025878906,1156,353
133,147.95606994628906,1222,354
134,148.53619384765625,1772,944
135,149.25816345214844,1361,440
136,149.5693817138672,1043,215
137,149.58609008789062,1488,604
138,150.86749267578125,1075,38
139,151.60804748535156,1778,933
140,152.941162109375,1759,938
141,153.1306610107422,1669,734
142,153.417724609375,1645,714
143,154.46682739257812,1283,461
144,154.59625244140625,1195,360
145,154.85154724121094,925,34
146,156.9458465576172,1475,641
147,157.04776000976562,1473,663
148,157.0923309326172,1481,1864
149,157.4515838623047,1569,694
150,158.18344116210938,1445,480
151,158.89305114746094,1436,567
152,159.3235626220703,1433,561
153,159.627685546875,1568,693
154,159.95623779296875,1071,153
155,160.19363403320312,1868,948
156,160.77935791015625,1700,777
157,162.0771484375,1266,406
158,164.18283081054688,1225,288
159,164.37457275390625,1224,401
160,164.3776092529297,1438,514
161,165.04544067382812,1304,512
162,165.60494995117188,1378,416
163,166.0421600341797,1364,552
164,166.5322723388672,972,60
165,166.80227661132812,1434,554
166,167.296142578125,1112,300
167,167.59176635742188,1113,137
168,167.83920288085938,1251,334
169,168.2200927734375,1548,616
170,168.6119842529297,1554,686
171,169.06507873535156,1410,619
172,169.31332397460938,1831,885
173,169.3546600341797,1040,48
174,170.01763916015625,1866,970
175,170.40834045410156,1491,648
176,170.81568908691406,1782,826
177,170.8712921142578,1480,630
178,170.88885498046875,1106,122
179,171.98545837402344,1773,889
180,172.1104278564453,1524,674
181,173.23683166503906,1000,147
182,174.26991271972656,1015,139
183,176.20726013183594,1053,188
184,176.41995239257812,1617,788
185,177.05648803710938,1045,146
186,177.6597900390625,1658,815
187,178.63369750976562,1194,176
188,179.1033172607422,1743,798
189,179.15914916992188,1828,906
190,180.5851593017578,1713,832
191,181.5296173095703,1116,154
192,181.8818359375,1137,261
193,184.3719024658203,1095,182
194,184.9810791015625,1575,751
195,185.01351928710938,1084,168
196,185.20529174804688,949,78
197,185.34832763671875,1592,737
198,186.42156982421875,1206,445
199,188.32684326171875,1456,588
200,189.2141571044922,1537,610
201,189.78408813476562,1865,968
202,190.1630859375,953,55
203,191.02879333496094,265,1704
204,191.12037658691406,1086,208
205,191.3400115966797,1083,167
206,191.3661346435547,1777,812
207,192.1353759765625,999,23
208,192.23683166503906,1788,830
209,192.2576446533203,1516,671
210,192.41880798339844,1122,126
211,192.69924926757812,1420,597
212,193.57943725585938,1597,737
213,193.78854370117188,1817,960
214,195.74984741210938,1692,763
215,196.1326141357422,1593,738
216,196.6417999267578,298,1212
217,198.19435119628906,1234,408
218,198.72593688964844,1114,183
219,200.74362182617188,1310,538
220,201.5713348388672,1209,385
221,201.76470947265625,203,536
222,202.42282104492188,1452,635
223,203.0714111328125,1326,451
224,205.6890869140625,1780,915
225,206.11404418945312,1414,504
226,207.0048370361328,1014,52
227,207.57167053222656,1035,95
228,207.9254608154297,1736,880
229,208.6024932861328,1269,383
230,209.87376403808594,1598,738
231,210.71307373046875,1119,275
232,212.09902954101562,1384,509
233,212.66876220703125,1207,446
234,215.16273498535156,1787,817
235,215.94906616210938,1703,813
236,216.38160705566406,1801,860
237,218.27963256835938,1844,973
238,218.97259521484375,1576,752
239,219.1164093017578,1668,733
240,219.371826171875,1244,373
241,219.38778686523438,1066,111
242,222.62075805664062,1023,62
243,223.9642791748047,1277,467
244,224.33680725097656,959,87
245,224.91775512695312,1236,1003
246,226.87881469726562,1136,209
247,226.96255493164062,874,1657
248,231.39791870117188,780,1740
249,241.0228271484375,1011,89
250,241.54295349121094,1229,462
251,243.52822875976562,1781,914
252,273.003662109375,1689,758
253,280.189208984375,131,1237
