loss,f1_score,status,dropout,first_dim,lr,num_layers,width_decay,model_type
0.9794019933554817,0.020598006644518274,ok,0.30000000000000004,640,0.02344462349305411,3,0.7656080378148059,mlp
0.7946712153192319,0.2053287846807681,ok,0.1,384,0.008713961559006212,3,0.5469251664972101,mlp
0.5570585637175667,0.4429414362824333,ok,0.2,256,0.0018058114634074325,3,0.5823175411619328,mlp
0.5957766756947543,0.40422332430524566,ok,0.2,768,0.003630107566456558,3,0.45182934752205245,mlp
0.5543418634857628,0.44565813651423725,ok,0.1,384,0.0017221555443830891,3,0.5101980513878595,mlp
0.979124281291464,0.020875718708535995,ok,0.30000000000000004,512,0.019328157948998136,3,0.34938867263835016,mlp
0.6251296259909936,0.37487037400900636,ok,0.30000000000000004,512,0.0019217406256764524,3,0.4127248888406235,mlp
0.7668018345218185,0.2331981654781815,ok,0.30000000000000004,512,0.004826739011111616,3,0.5233941840689467,mlp
0.5238761210315847,0.47612387896841535,ok,0.2,384,0.0013259433831351454,3,0.43766168214442824,mlp
0.7458493235971535,0.2541506764028465,ok,0.2,256,0.00667972985372035,3,0.7252420719314754,mlp
0.9791196637911966,0.020880336208803363,ok,0.2,256,0.02842644001513623,3,0.757136359409798,mlp
0.979096545615589,0.02090345438441099,ok,0.30000000000000004,768,0.03787302892387564,3,0.5584531040964847,mlp
0.979124281291464,0.020875718708535995,ok,0.30000000000000004,768,0.02675677321743259,3,0.3856830428861519,mlp
0.9786137761125708,0.021386223887429168,ok,0.30000000000000004,512,0.019424078106149323,3,0.728815426170542,mlp
0.9794019933554817,0.020598006644518274,ok,0.30000000000000004,256,0.03651843902707384,3,0.5352311605816829,mlp
