loss,f1_score,status,base_channels,layer1,layer2,layer3,lr,model_type
0.0975687579818787,0.9024312420181213,ok,24,3,3,3,0.03781173792357096,resnet
0.07621061581666067,0.9237893841833393,ok,48,2,2,3,0.006574224412038963,resnet
0.10004704830531319,0.8999529516946868,ok,32,2,2,2,0.008725899944559396,resnet
0.06034559334632572,0.9396544066536743,ok,48,2,3,2,0.0030721881469396232,resnet
0.08837813900124769,0.9116218609987523,ok,24,2,3,2,0.004900512003093161,resnet
0.1105205604087951,0.8894794395912049,ok,48,3,2,3,0.001353731238178278,resnet
0.047933027410287155,0.9520669725897128,ok,32,3,2,2,0.002246906518888923,resnet
0.06801312297147122,0.9319868770285288,ok,40,3,3,2,0.0054461489897965195,resnet
0.051435155478700145,0.9485648445212999,ok,40,2,3,2,0.0027429904658480627,resnet
0.11915664919914248,0.8808433508008575,ok,32,3,3,2,0.027376688166938893,resnet
0.08162938641357587,0.9183706135864241,ok,32,3,3,3,0.035334016998132586,resnet
0.1014606474186085,0.8985393525813915,ok,24,3,3,3,0.007209359495347599,resnet
0.07437209258472044,0.9256279074152796,ok,40,3,3,3,0.001809805936400695,resnet
0.11148881836321411,0.8885111816367859,ok,48,3,2,3,0.028170594575201935,resnet
0.17745493801691692,0.8225450619830831,ok,40,3,3,3,0.00598708448729844,resnet
